benchmark,run,result
armstrong,baseline,133
armstrong,lvn,133
armstrong,tdce,130
armstrong,lvn_tdce,130
ackermann,baseline,1464231
ackermann,lvn,1464231
ackermann,tdce,1464231
ackermann,lvn_tdce,1464231
sum-to-ten,baseline,143
sum-to-ten,lvn,143
sum-to-ten,tdce,142
sum-to-ten,lvn_tdce,132
sum-check,baseline,5018
sum-check,lvn,5012
sum-check,tdce,5018
sum-check,lvn_tdce,5011
sum-sq-diff,baseline,3038
sum-sq-diff,lvn,3038
sum-sq-diff,tdce,3036
sum-sq-diff,lvn_tdce,2734
perfect,baseline,232
perfect,lvn,232
perfect,tdce,232
perfect,lvn_tdce,232
